gvkey,cik,conm,Role,Source,Date,Time,Title,Content
1004,1750,AAR CORP,"CEO, Chief Executive Officer",,,,,
1004,1750,AAR CORP,"CFO, Chief Financial Officer",,,,,
1078,1800,ABBOTT LABORATORIES,"CEO, Chief Executive Officer",,,,,
1078,1800,ABBOTT LABORATORIES,"CFO, Chief Financial Officer",,,,,
1084,1961,WORLDS INC,"CEO, Chief Executive Officer",,,,,
1084,1961,WORLDS INC,"CFO, Chief Financial Officer",,,,,
1094,2034,ACETO CORP,"CEO, Chief Executive Officer",,,,,
1094,2034,ACETO CORP,"CFO, Chief Financial Officer",,,,,
1097,2062,ACMAT CORP ,"CEO, Chief Executive Officer",,,,,
1097,2062,ACMAT CORP ,"CFO, Chief Financial Officer",,,,,
1104,2098,ACME UNITED CORP,"CEO, Chief Executive Officer",,,,,
1104,2098,ACME UNITED CORP,"CFO, Chief Financial Officer",,,,,
1121,2178,ADAMS RESOURCES & ENERGY INC,"CEO, Chief Executive Officer",,,,,
1121,2178,ADAMS RESOURCES & ENERGY INC,"CFO, Chief Financial Officer",,,,,
1117,2186,BK TECHNOLOGIES,"CEO, Chief Executive Officer",,,,,
1117,2186,BK TECHNOLOGIES,"CFO, Chief Financial Officer",,,,,
1161,2488,ADVANCED MICRO DEVICES,"CEO, Chief Executive Officer",,,,,
1161,2488,ADVANCED MICRO DEVICES,"CFO, Chief Financial Officer",,,,,
12075,2491,BALLY TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
12075,2491,BALLY TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
1186,2809,AGNICO EAGLE MINES LTD,"CEO, Chief Executive Officer",,,,,
1186,2809,AGNICO EAGLE MINES LTD,"CFO, Chief Financial Officer",,,,,
1209,2969,AIR PRODUCTS & CHEMICALS INC,"CEO, Chief Executive Officer",,,,,
1209,2969,AIR PRODUCTS & CHEMICALS INC,"CFO, Chief Financial Officer",,,,,
14304,3116,AKORN INC,"CEO, Chief Executive Officer",,,,,
14304,3116,AKORN INC,"CFO, Chief Financial Officer",,,,,
15334,3124,AKZO NOBEL NV,"CEO, Chief Executive Officer",,,,,
15334,3124,AKZO NOBEL NV,"CFO, Chief Financial Officer",,,,,
1224,3146,ALABAMA GAS CORP,"CEO, Chief Executive Officer",,,,,
1224,3146,ALABAMA GAS CORP,"CFO, Chief Financial Officer",,,,,
1225,3153,ALABAMA POWER CO,"CEO, Chief Executive Officer",,,,,
1225,3153,ALABAMA POWER CO,"CFO, Chief Financial Officer",,,,,
1050,3197,CECO ENVIRONMENTAL CORP,"CEO, Chief Executive Officer",,,,,
1050,3197,CECO ENVIRONMENTAL CORP,"CFO, Chief Financial Officer",,,,,
1254,3453,MATSON INC,"CEO, Chief Executive Officer",,,,,
1254,3453,MATSON INC,"CFO, Chief Financial Officer",,,,,
1257,3499,ALEXANDER'S INC,"CEO, Chief Executive Officer",,,,,
1257,3499,ALEXANDER'S INC,"CFO, Chief Financial Officer",,,,,
1266,3545,ALICO INC,"CEO, Chief Executive Officer",,,,,
1266,3545,ALICO INC,"CFO, Chief Financial Officer",,,,,
29453,3570,CHENIERE ENERGY INC,"CEO, Chief Executive Officer",,,,,
29453,3570,CHENIERE ENERGY INC,"CFO, Chief Financial Officer",,,,,
1327,4127,SKYWORKS SOLUTIONS INC,"CEO, Chief Executive Officer",,,,,
1327,4127,SKYWORKS SOLUTIONS INC,"CFO, Chief Financial Officer",,,,,
61925,4187,INDUSTRIAL SERVICES AMER INC,"CEO, Chief Executive Officer",,,,,
61925,4187,INDUSTRIAL SERVICES AMER INC,"CFO, Chief Financial Officer",,,,,
28192,4281,ARCONIC INC,"CEO, Chief Executive Officer",,,,,
28192,4281,ARCONIC INC,"CFO, Chief Financial Officer",,,,,
1380,4447,HESS CORP,"CEO, Chief Executive Officer",,,,,
1380,4447,HESS CORP,"CFO, Chief Financial Officer",,,,,
1393,4457,AMERCO,"CEO, Chief Executive Officer",,,,,
1393,4457,AMERCO,"CFO, Chief Financial Officer",,,,,
1388,4515,AMERICAN AIRLINES INC,"CEO, Chief Executive Officer",,,,,
1388,4515,AMERICAN AIRLINES INC,"CFO, Chief Financial Officer",,,,,
1397,4611,AMERICAN BILTRITE INC,"CEO, Chief Executive Officer",,,,,
1397,4611,AMERICAN BILTRITE INC,"CFO, Chief Financial Officer",,,,,
1440,4904,AMERICAN ELECTRIC POWER CO,"CEO, Chief Executive Officer",,,,,
1440,4904,AMERICAN ELECTRIC POWER CO,"CFO, Chief Financial Officer",,,,,
1447,4962,AMERICAN EXPRESS CO,"CEO, Chief Executive Officer",,,,,
1447,4962,AMERICAN EXPRESS CO,"CFO, Chief Financial Officer",,,,,
1448,4969,AMERICAN EXPRESS CREDIT CORP,"CEO, Chief Executive Officer",,,,,
1448,4969,AMERICAN EXPRESS CREDIT CORP,"CFO, Chief Financial Officer",,,,,
1449,4977,AFLAC INC,"CEO, Chief Executive Officer",,,,,
1449,4977,AFLAC INC,"CFO, Chief Financial Officer",,,,,
1487,5272,AMERICAN INTERNATIONAL GROUP,"CEO, Chief Executive Officer",,,,,
1487,5272,AMERICAN INTERNATIONAL GROUP,"CFO, Chief Financial Officer",,,,,
1491,5337,HADERA PAPER LTD,"CEO, Chief Executive Officer",,,,,
1491,5337,HADERA PAPER LTD,"CFO, Chief Financial Officer",,,,,
12726,5513,UNUM GROUP,"CEO, Chief Executive Officer",,,,,
12726,5513,UNUM GROUP,"CFO, Chief Financial Officer",,,,,
170974,5656,AMERICAN INTL VENTURES INC,"CEO, Chief Executive Officer",,,,,
170974,5656,AMERICAN INTL VENTURES INC,"CFO, Chief Financial Officer",,,,,
1554,5768,AMERICAN SCIENCE ENGINEERING,"CEO, Chief Executive Officer",,,,,
1554,5768,AMERICAN SCIENCE ENGINEERING,"CFO, Chief Financial Officer",,,,,
1585,5981,AMERICAN VANGUARD CORP,"CEO, Chief Executive Officer",,,,,
1585,5981,AMERICAN VANGUARD CORP,"CFO, Chief Financial Officer",,,,,
1613,6176,AMPCO-PITTSBURGH CORP,"CEO, Chief Executive Officer",,,,,
1613,6176,AMPCO-PITTSBURGH CORP,"CFO, Chief Financial Officer",,,,,
